Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Eurocarta S.r.l. (Meda),"0362 70272, 0362 346591",Ingrosso e distribuzione,Commercio all'ingrosso di vari prodotti di consumo non alimentare nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.49.9 Commercio all'ingrosso di vari prodotti di consumo non alimentare nca | fatturato 2.603.849 EUR (2024) | dipendenti da 10 a 15 | 3 km da Seveso | Via Indipendenza, 18 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/eurocarta-srl-03128560962 | telefono: PG «eurocarta» in meda → Eurocarta S.r.l. | Via Indipendenza, 18 - 20821 Meda (MB)",
Formanova Srl (Meda),0362 347183,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Confezionamento di biancheria da letto, da tavola e per l'arredamento",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 13.92.1 Confezionamento di biancheria da letto, da tavola e per l'arredamento | fatturato 2.283.849 EUR (2024) | dipendenti da 16 a 19 | 3 km da Seveso | Via Trento, 68 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/formanova-srl-08636340153 | telefono: PG «formanova» in meda → Formanova S.r.l. | Via Cialdini Generale Enrico, 205 - 20821 Meda (MB)",
Techno Service Srl (Meda),"0362 687591, 0362 1972111",Metalmeccanica e officine,Riparazione e manutenzione di macchinari,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 33.12 Riparazione e manutenzione di macchinari | fatturato 1.983.843 EUR (2024) | dipendenti da 6 a 9 | 3 km da Seveso | Via Pordenone, 21 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/techno-service-srl-07244880964 | telefono: PG «techno service» in meda → Techno Service S.r.l. | Via Pordenone, 19/A - 20821 Meda (MB)",
Erre Erre Diffusion Srl (Meda),"0362 340243, 0362 825960",Ingrosso e distribuzione,Commercio all'ingrosso di tessuti,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.41.1 Commercio all'ingrosso di tessuti | fatturato 1.849.016 EUR (2024) | dipendenti da 6 a 9 | 3 km da Seveso | Via Milano, 57 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/erre-erre-diffusion-srl-00416730133 | telefono: PG «erre erre diffusion» in meda → Erre Erre Diffusion S.r.l. | Via Milano, 57 - 20821 Meda (MB)",
C.g. Capelletti S.r.l. (Meda),"0362 75367, 0362 75368","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31 Fabbricazione di mobili | fatturato 1.804.721 EUR (2024) | dipendenti da 16 a 19 | 3 km da Seveso | Via Luigi Rho, 144 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/cg-capelletti-srl-04921320968 | telefono: PG «capelletti» in meda → C.G. Capelletti S.r.l. | Via Rho Luigi, 144 - 20821 Meda (MB)",
Somei S.r.l. (Meda),0362 340262,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di materassi,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.03 Fabbricazione di materassi | fatturato 1.279.331 EUR (2024) | dipendenti da 10 a 15 | 3 km da Seveso | Via Magenta, 20 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/somei-srl-02756540965 | telefono: PG «somei» in meda → Somei | Via Magenta, 20 - 20821 Meda (MB)",
Comast S.r.l. (Misinto),"02 96329554, 02 96328959, 02 96328988","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di coloranti e pigmenti,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 20.12 Fabbricazione di coloranti e pigmenti | fatturato 8.580.627 EUR (2024) | dipendenti da 16 a 19 | 5 km da Seveso | Via Turati, 44 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/comast-srl-03458860156 | telefono: PG «comast» in misinto → Comast S.r.l. | Via Turati, 44 - 20826 Misinto (MB)",
Dental Tech S.r.l. (Misinto),"02 96720218, 02 96720174","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di apparecchi e strumenti per odontoiatria e di apparecchi medicali (incluse parti staccate e accessori),D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 32.50.12 Fabbricazione di apparecchi e strumenti per odontoiatria e di apparecchi medicali (incluse parti staccate e accessori) | fatturato 4.376.135 EUR (2024) | dipendenti da 10 a 15 | 5 km da Seveso | Via G.di Vittorio, 10/12 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/dental-tech-srl-05285500962 | telefono: PG «dental tech» in misinto → Dental Tech | Via Giuseppe di Vittorio, 10/12 - 20826 Misinto (MB)",
Parenti E Pizzi S.r.l. (Misinto),"02 96720908, 02 96729747",Metalmeccanica e officine,Fabbricazione di altre macchine di impiego generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.2 Fabbricazione di altre macchine di impiego generale | fatturato 3.965.345 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via Giuseppe Di Vittorio, 11/13 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/parenti-e-pizzi-srl-04033190150 | telefono: PG «parenti pizzi» in misinto → Parenti e Pizzi S.r.l. | Via di Vittorio, 11/13 - 20826 Misinto (MB)",
Tubomatic S.r.l. (Misinto),"02 96720412, 02 96721742",Metalmeccanica e officine,Produzione di rame,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 24.44 Produzione di rame | fatturato 3.472.560 EUR (2024) | dipendenti da 10 a 15 | 5 km da Seveso | Via Della Pusterla, 19 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/tubomatic-srl-02702560968 | telefono: PG «tubomatic» in misinto → Tubomatic S.r.l. | Via Pusterla, 19 - 20826 Misinto (MB)",
Chl Italia S.r.l. (Misinto),02 96328575,Metalmeccanica e officine,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.29.99 Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca | fatturato 2.579.261 EUR (2024) | dipendenti da 10 a 15 | 5 km da Seveso | Via Fornace, 8 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/chl-italia-srl-03323910137 | telefono: PG «chl» in misinto → Chl Italia S.r.l. | Via Fornace, 8 - 20826 Misinto (MB)",
Alp Srl (Misinto),02 96320768,Metalmeccanica e officine,Lavori di meccanica generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.62 Lavori di meccanica generale | fatturato 1.497.914 EUR (2024) | dipendenti da 6 a 9 | 5 km da Seveso | Via Dei Guasti, 39 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/alp-srl-02582980963 | telefono: PG «alp» in misinto → Alp S.r.l. | Via dei Guasti, 39 - 20826 Misinto (MB)",
Sevio Srl (Misinto),02 97070785,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 26.30.29 Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni | fatturato 1.400.071 EUR (2024) | dipendenti da 6 a 9 | 5 km da Seveso | Via Della Pusterla, 36 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/sevio-srl-04220930160 | telefono: PG «sevio» in misinto → Sevio S.r.l. | Via Pusterla, 36 - 20826 Misinto (MB)",
Groan Marmi S.r.l. (Misinto),"02 96328533, 02 96720069, 02 96721580, 02 96721833","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Segagione e lavorazione delle pietre e del marmo,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 23.70.1 Segagione e lavorazione delle pietre e del marmo | fatturato 1.214.268 EUR (2024) | dipendenti da 6 a 9 | 5 km da Seveso | Via Dei Guasti, 0010 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/groan-marmi-srl-07836070156 | telefono: PG «groan marmi» in misinto → Groan Marmi S.r.l. | Via dei Guasti, 10 - 20826 Misinto (MB)",
Syncrosald S.r.l. (Misinto),"02 96328549, 02 96729837",Metalmeccanica e officine,Lavori di meccanica generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.62 Lavori di meccanica generale | fatturato 1.091.484 EUR (2024) | dipendenti da 10 a 15 | 5 km da Seveso | Via Della Longura, 3 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/syncrosald-srl-03791030962 | telefono: PG «syncrosald» in misinto → Syncrosald S.r.l. | Via della Longura, 3 - 20826 Misinto (MB)",
Busch Italia S.r.l. (Nova Milanese),"340 9370290, 345 7042615, 0362 370901",Ingrosso e distribuzione,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.69.99 Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca | fatturato 19.080.640 EUR (2024) | dipendenti da 20 a 49 | 8.5 km da Seveso | Via E.majorana, 16 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/busch-italia-srl-08550730157 | telefono: PG «busch» in nova milanese → Busch Italia S.r.l. | Via Majorana Ettore, 16 - 20834 Nova Milanese (MB)",
Mci - Marzorati Componenti Industriali Spa (Nova Milanese),"0362 364554, 0362 364556, 0362 364560, 0362 364536",Ingrosso e distribuzione,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.69.99 Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca | fatturato 18.418.842 EUR (2024) | dipendenti da 20 a 49 | 8.5 km da Seveso | Via Enrico Fermi, 12 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/mci-marzorati-componenti-industriali-spa-11360820150 | telefono: PG «mci marzorati componenti industriali» in nova milanese → MCI Marzorati Componenti Industriali S.p.a. | Via Fermi Enrico, 12 - 20834 Nova Milanese ",
Novabit S.r.l. (Nova Milanese),0362 364411,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri prodotti in minerali non metalliferi nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 23.99 Fabbricazione di altri prodotti in minerali non metalliferi nca | fatturato 17.772.403 EUR (2024) | dipendenti da 10 a 15 | 8.5 km da Seveso | Via Luigi Galvani, 30 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/novabit-srl-08411260964 | telefono: PG «novabit» in nova milanese → Novabit S.r.l. | Via Galvani Luigi, 30 - 20834 Nova Milanese (MB)",
Kolor + Service S.r.l. (Nova Milanese),"0362 491818, 0362 41131, 0362 49181",Ingrosso e distribuzione,Commercio all'ingrosso di prodotti chimici per l'industria,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.75.02 Commercio all'ingrosso di prodotti chimici per l'industria | fatturato 12.785.305 EUR (2024) | dipendenti da 20 a 49 | 8.5 km da Seveso | Via Dalmazia, 5 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/kolor-service-srl-10716220156 | telefono: PG «kolor service» in nova milanese → Kolor + Service S.r.l. | Via Dalmazia, 5 - 20834 Nova Milanese (MB)",
Logika Control S.r.l. (Nova Milanese),"0362 37001, 0362 370001, 0362 280649","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 27 Fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche | fatturato 8.672.501 EUR (2024) | dipendenti da 20 a 49 | 8.5 km da Seveso | Via Garibaldi, 83/A - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/logika-control-srl-11253460155 | telefono: PG «logika control» in nova milanese → Logika Control S.r.l. | Via Garibaldi Giuseppe, 83/A - 20834 Nova Milanese (MB)",
Givi Misure S.r.l. (Nova Milanese),"0362 366126, 0362 366876","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricita', gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 26.51.29 Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricita', gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori) | fatturato 7.884.892 EUR (2023) | dipendenti da 50 a 99 | 8.5 km da Seveso | Via Dell'assunta, 57 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/givi-misure-srl-04355540156 | telefono: PG «givi misure» in nova milanese → Givi Misure S.r.l. | Via Assunta, 57 - 20834 Nova Milanese (MB)",
Ripress Srl (Nova Milanese),0362 450946,Metalmeccanica e officine,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori),D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.96 Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori) | fatturato 6.453.036 EUR (2024) | dipendenti da 10 a 15 | 8.5 km da Seveso | Via Ettore Majorana, 9 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/ripress-srl-02371810967 | telefono: PG «ripress» in nova milanese → Ripress S.r.l. | Via Majorana Ettore, 9 - 20834 Nova Milanese (MB)",
Galvanica Gentile Srl (Nova Milanese),"0362 43600, 0362 451157",Metalmeccanica e officine,Trattamento e rivestimento dei metalli,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.61 Trattamento e rivestimento dei metalli | fatturato 5.695.301 EUR (2024) | dipendenti da 20 a 49 | 8.5 km da Seveso | Via Per Incirano, 17/D - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/galvanica-gentile-srl-02074350964 | telefono: PG «galvanica gentile» in nova milanese → Galvanica Gentile S.r.l. | Via per Incirano, 17/D - 20834 Nova Milanese (MB)",
Minebea Intec Italy S.r.l. (Nova Milanese),0362 361411,Ingrosso e distribuzione,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.69.99 Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca | fatturato 5.446.354 EUR (2024) | dipendenti da 20 a 49 | 8.5 km da Seveso | Via De Gasperi, 20 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/minebea-intec-italy-srl-08461600960 | telefono: PG «minebea intec» in nova milanese → Minebea Intec Italy S.r.l. | De Gasperi, 20 - 20834 Nova Milanese (MB)",
Gemux S.r.l. (Nova Milanese),0362 1701279,Metalmeccanica e officine,Riparazione e manutenzione di altre macchine di impiego generale nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 33.12.59 Riparazione e manutenzione di altre macchine di impiego generale nca | fatturato 5.085.323 EUR (2024) | dipendenti da 20 a 49 | 8.5 km da Seveso | Via Luigi Galvani, 1 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/gemux-srl-11774790155 | telefono: PG «gemux» in nova milanese → Gemux | Via Luigi Galvani, 1 - 20834 Nova Milanese (MB)",
Grimm Service Linee S.r.l (Nova Milanese),0362 1545422,Impiantistica e cantieri,Altri lavori di completamento e di finitura degli edifici nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Impiantistica e cantieri | ATECO 43.39.09 Altri lavori di completamento e di finitura degli edifici nca | fatturato 3.638.563 EUR (2024) | dipendenti da 6 a 9 | 8.5 km da Seveso | Via Locatelli, 40 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | fonte companyreports.it/grimm-service-linee-srl-07771580961 | telefono: PG «grimm service linee» in nova milanese → Grimm Service Linee S.r.l. | Via Venezia, 4 - 20834 Nova Milanese (MB)",
Nuova Etra Srl (Nova Milanese),0362 43623,Metalmeccanica e officine,Lavori di meccanica generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.62 Lavori di meccanica generale | fatturato 2.463.934 EUR (2024) | dipendenti da 20 a 49 | 8.5 km da Seveso | Via Enrico Fermi, 15 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/nuova-etra-srl-08285690155 | telefono: PG «nuova etra» in nova milanese → Nuova Etra S.r.l. | Via Fermi Enrico, 15 - 20834 Nova Milanese (MB)",
Ballabio S.r.l. - Stainless Steel Components (Nova Milanese),0362 334080,Metalmeccanica e officine,Fabbricazione di altri rubinetti e valvole,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.14 Fabbricazione di altri rubinetti e valvole | fatturato 2.116.666 EUR (2024) | dipendenti da 10 a 15 | 8.5 km da Seveso | Via Saragat, 4 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/ballabio-srl-stainless-steel-components-12763080152 | telefono: PG «ballabio stainless steel components» in nova milanese → Ballabio S.r.l. - Stainless Steel Components | Via Saragat Giuseppe, 4 - 20834 Nova Milane",
Europ. Frigo Transport S.r.l. (Nova Milanese),"0362 44004, 0362 44755",Metalmeccanica e officine,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.25 Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione | fatturato 2.038.807 EUR (2024) | dipendenti da 6 a 9 | 8.5 km da Seveso | Via Alcide De Gasperi, 13 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/europ-frigo-transport-srl-10851580158 | telefono: PG «europ frigo transport» in nova milanese → Europ. Frigo Transport S.r.l. | Via De Gasperi, 13 - 20834 Nova Milanese (MB)",
Il Pane Di Mario E Maria S.r.l. (Nova Milanese),0362 43311,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Produzione di prodotti di panetteria freschi,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 10.71.1 Produzione di prodotti di panetteria freschi | fatturato 1.942.853 EUR (2024) | dipendenti da 20 a 49 | 8.5 km da Seveso | Via Incirano, 17/A - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/il-pane-di-mario-e-maria-srl-07848910969 | telefono: PG «pane mario maria» in nova milanese → Il Pane di Mario & Maria | Via per Incirano, 17/A - 20834 Nova Milanese (MB)",
Ombar S.r.l. (Nova Milanese),0362 364304,Metalmeccanica e officine,Lavori di meccanica generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.62 Lavori di meccanica generale | fatturato 1.309.449 EUR (2024) | dipendenti da 6 a 9 | 8.5 km da Seveso | Via Per Incirano, 39 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/ombar-srl-03221200961 | telefono: PG categoria «meccanica» in seveso → Ombar | Via per Incirano, 39 - 20834 Nova Milanese (MB)",
Clima Impianti S.r.l. (Nova Milanese),"0362 368009, 346 2887571, 02 9693383, 0362 364422",Impiantistica e cantieri,"Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Impiantistica e cantieri | ATECO 43.22.01 Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione | fatturato 1.023.931 EUR (2024) | dipendenti da 6 a 9 | 8.5 km da Seveso | Via Villoresi, 42 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | fonte companyreports.it/clima-impianti-srl-03256670963 | telefono: PG «clima impianti» in nova milanese → Clima Impianti Srl | Via Eugenio Villoresi, 42 - 20834 Nova Milanese (MB)",
Afep Srl (Novedrate),031 790391,Ingrosso e distribuzione,Commercio all'ingrosso di infissi,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.73.23 Commercio all'ingrosso di infissi | fatturato 12.068.405 EUR (2024) | dipendenti da 50 a 99 | 10 km da Seveso | Via Della Risera, 9 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/afep-srl-08420120969 | telefono: PG «afep» in novedrate → afep srl | Via della Risera, 9 - 22060 Novedrate (CO)",
Legnoquattro Spa (Novedrate),031 790246,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 16.21 Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno | fatturato 7.842.965 EUR (2024) | dipendenti da 20 a 49 | 10 km da Seveso | Via Provinciale, 19 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/legnoquattro-spa-01396470138 | telefono: PG «legnoquattro» in novedrate → Legnoquattro | Via Provinciale Novedratese, 19 - 22060 Novedrate (CO)",
Ibs Moulding S.r.l. Sb (Novedrate),031 4978519,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri articoli in materie plastiche nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 22.29.09 Fabbricazione di altri articoli in materie plastiche nca | fatturato 4.057.489 EUR (2024) | dipendenti da 20 a 49 | 10 km da Seveso | Via Dell'artigiano, 8/10 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/ibs-moulding-srl-sb-06813680151 | telefono: PG «ibs moulding» in novedrate → IBS Moulding S.r.l. | Via Dell' Artigiano, 8 - 22060 Novedrate (CO)",
Giorgio Collection S.r.l. (Seregno),"0362 243471, 0362 326814","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31 Fabbricazione di mobili | fatturato 11.396.052 EUR (2024) | dipendenti da 10 a 15 | 5 km da Seveso | Via Albert Einstein, 6 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/giorgio-collection-srl-07574740150 | telefono: PG «giorgio collection» in seregno → Giorgio Collection S.r.l. | Via Einstein Albert, 6 - 20831 Seregno (MB)",
Cavallaro G. S.r.l. (Seregno),0362 244605,Ingrosso e distribuzione,Commercio all'ingrosso di frutta e ortaggi freschi,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.31.1 Commercio all'ingrosso di frutta e ortaggi freschi | fatturato 9.426.957 EUR (2024) | dipendenti da 10 a 15 | 5 km da Seveso | Via Ippolito Nievo, 3 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/cavallaro-g-srl-09224030966 | telefono: PG «cavallaro» in seregno → Cavallaro S.r.l. | Via Einaudi, 10 - 20831 Seregno (MB)",
